YEAR,STATE,RATE,URL
2021,AL,3.6,/nchs/pressroom/states/alabama/al.htm
2021,AK,3.1,/nchs/pressroom/states/alaska/ak.htm
2021,AZ,2.7,/nchs/pressroom/states/arizona/az.htm
2021,AR,3.6,/nchs/pressroom/states/arkansas/ar.htm
2021,CA,,/nchs/pressroom/states/california/ca.htm
2021,CO,3,/nchs/pressroom/states/colorado/co.htm
2021,CT,2.5,/nchs/pressroom/states/connecticut/ct.htm
2021,DE,2.6,/nchs/pressroom/states/delaware/de.htm
2021,District of Columbia,2.6,/nchs/pressroom/states/DC/DC1.htm
2021,FL,3.4,/nchs/pressroom/states/florida/fl.htm
2021,GA,2.2,/nchs/pressroom/states/georgia/ga.htm
2021,HI,,/nchs/pressroom/states/hawaii/hi.htm
2021,ID,3.4,/nchs/pressroom/states/idaho/id.htm
2021,IL,1.3,/nchs/pressroom/states/illinois/il.htm
2021,IN,,/nchs/pressroom/states/indiana/in.htm
2021,IA,2.3,/nchs/pressroom/states/iowa/ia.htm
2021,KS,1.9,/nchs/pressroom/states/kansas/ks.htm
2021,KY,3.3,/nchs/pressroom/states/kentucky/ky.htm
2021,LA,2.2,/nchs/pressroom/states/louisiana/la.htm
2021,ME,2.7,/nchs/pressroom/states/maine/me.htm
2021,MD,1.6,/nchs/pressroom/states/maryland/md.htm
2021,MA,1,/nchs/pressroom/states/massachusetts/ma.htm
2021,MI,2.3,/nchs/pressroom/states/michigan/mi.htm
2021,MN,,/nchs/pressroom/states/minnesota/mn.htm
2021,MS,3.3,/nchs/pressroom/states/mississippi/ms.htm
2021,MO,2.9,/nchs/pressroom/states/missouri/mo.htm
2021,MT,2.5,/nchs/pressroom/states/montana/mt.htm
2021,NE,2.6,/nchs/pressroom/states/nebraska/ne.htm
2021,NV,4.2,/nchs/pressroom/states/nevada/nv.htm
2021,NH,2.6,/nchs/pressroom/states/newhampshire/nh.htm
2021,NJ,2.2,/nchs/pressroom/states/newjersey/nj.htm
2021,NM,,/nchs/pressroom/states/newmexico/nm.htm
2021,NY,2.2,/nchs/pressroom/states/newyork/ny.htm
2021,NC,3.2,/nchs/pressroom/states/northcarolina/nc.htm
2021,ND,2.9,/nchs/pressroom/states/northdakota/nd.htm
2021,OH,2.6,/nchs/pressroom/states/ohio/oh.htm
2021,OK,3.8,/nchs/pressroom/states/oklahoma/ok.htm
2021,OR,2.7,/nchs/pressroom/states/oregon/or.htm
2021,PA,2.4,/nchs/pressroom/states/pennsylvania/pa.htm
2021,RI,2.7,/nchs/pressroom/states/rhodeisland/ri.htm
2021,SC,2.4,/nchs/pressroom/states/southcarolina/sc.htm
2021,SD,2.5,/nchs/pressroom/states/southdakota/sd.htm
2021,TN,3.3,/nchs/pressroom/states/tennessee/tn.htm
2021,TX,1.4,/nchs/pressroom/states/texas/tx.htm
2021,UT,3.3,/nchs/pressroom/states/utah/ut.htm
2021,VT,2.3,/nchs/pressroom/states/vermont/vt.htm
2021,VA,3.1,/nchs/pressroom/states/virginia/va.htm
2021,WA,2.9,/nchs/pressroom/states/washington/wa.htm
2021,WV,2.9,/nchs/pressroom/states/westvirginia/wv.htm
2021,WI,2.1,/nchs/pressroom/states/wisconsin/wi.htm
2021,WY,3.7,/nchs/pressroom/states/wyoming/wy.htm
2020,AL,3.7,/nchs/pressroom/states/alabama/al.htm
2020,AK,3.2,/nchs/pressroom/states/alaska/ak.htm
2020,AZ,2.9,/nchs/pressroom/states/arizona/az.htm
2020,AR,3.6,/nchs/pressroom/states/arkansas/ar.htm
2020,CA,,/nchs/pressroom/states/california/ca.htm
2020,CO,2.9,/nchs/pressroom/states/colorado/co.htm
2020,CT,1.6,/nchs/pressroom/states/connecticut/ct.htm
2020,DE,2.3,/nchs/pressroom/states/delaware/de.htm
2020,District of Columbia,2.1,/nchs/pressroom/states/DC/DC1.htm
2020,FL,3,/nchs/pressroom/states/florida/fl.htm
2020,GA,1.9,/nchs/pressroom/states/georgia/ga.htm
2020,HI,,/nchs/pressroom/states/hawaii/hi.htm
2020,ID,3.4,/nchs/pressroom/states/idaho/id.htm
2020,IL,1.6,/nchs/pressroom/states/illinois/il.htm
2020,IN,,/nchs/pressroom/states/indiana/in.htm
2020,IA,2.1,/nchs/pressroom/states/iowa/ia.htm
2020,KS,1.8,/nchs/pressroom/states/kansas/ks.htm
2020,KY,3.1,/nchs/pressroom/states/kentucky/ky.htm
2020,LA,1.4,/nchs/pressroom/states/louisiana/la.htm
2020,ME,2.4,/nchs/pressroom/states/maine/me.htm
2020,MD,1.7,/nchs/pressroom/states/maryland/md.htm
2020,MA,1,/nchs/pressroom/states/massachusetts/ma.htm
2020,MI,2.1,/nchs/pressroom/states/michigan/mi.htm
2020,MN,,/nchs/pressroom/states/minnesota/mn.htm
2020,MS,3.3,/nchs/pressroom/states/mississippi/ms.htm
2020,MO,2.7,/nchs/pressroom/states/missouri/mo.htm
2020,MT,2.3,/nchs/pressroom/states/montana/mt.htm
2020,NE,2.8,/nchs/pressroom/states/nebraska/ne.htm
2020,NV,3,/nchs/pressroom/states/nevada/nv.htm
2020,NH,2.4,/nchs/pressroom/states/newhampshire/nh.htm
2020,NJ,1.7,/nchs/pressroom/states/newjersey/nj.htm
2020,NM,,/nchs/pressroom/states/newmexico/nm.htm
2020,NY,1.8,/nchs/pressroom/states/newyork/ny.htm
2020,NC,2.8,/nchs/pressroom/states/northcarolina/nc.htm
2020,ND,2.4,/nchs/pressroom/states/northdakota/nd.htm
2020,OH,2.5,/nchs/pressroom/states/ohio/oh.htm
2020,OK,3.5,/nchs/pressroom/states/oklahoma/ok.htm
2020,OR,2.6,/nchs/pressroom/states/oregon/or.htm
2020,PA,2.3,/nchs/pressroom/states/pennsylvania/pa.htm
2020,RI,1.9,/nchs/pressroom/states/rhodeisland/ri.htm
2020,SC,2,/nchs/pressroom/states/southcarolina/sc.htm
2020,SD,2.5,/nchs/pressroom/states/southdakota/sd.htm
2020,TN,3.2,/nchs/pressroom/states/tennessee/tn.htm
2020,TX,1.5,/nchs/pressroom/states/texas/tx.htm
2020,UT,3.3,/nchs/pressroom/states/utah/ut.htm
2020,VT,2.1,/nchs/pressroom/states/vermont/vt.htm
2020,VA,2.6,/nchs/pressroom/states/virginia/va.htm
2020,WA,2.8,/nchs/pressroom/states/washington/wa.htm
2020,WV,3.1,/nchs/pressroom/states/westvirginia/wv.htm
2020,WI,2,/nchs/pressroom/states/wisconsin/wi.htm
2020,WY,3.8,/nchs/pressroom/states/wyoming/wy.htm
2019,AL,3.6,/nchs/pressroom/states/alabama/al.htm
2019,AK,3.6,/nchs/pressroom/states/alaska/ak.htm
2019,AZ,2.9,/nchs/pressroom/states/arizona/az.htm
2019,AR,4,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,,/nchs/pressroom/states/california/ca.htm
2019,CO,3.3,/nchs/pressroom/states/colorado/co.htm
2019,CT,2.7,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,2.9,/nchs/pressroom/states/delaware/de.htm
2019,District of Columbia,2.4,/nchs/pressroom/states/DC/DC1.htm
2019,FL,3.5,/nchs/pressroom/states/florida/fl.htm
2019,GA,2.3,/nchs/pressroom/states/georgia/ga.htm
2019,HI,,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,3.9,/nchs/pressroom/states/idaho/id.htm
2019,IL,1.3,/nchs/pressroom/states/illinois/il.htm
2019,IN,,/nchs/pressroom/states/indiana/in.htm
2019,IA,2.3,/nchs/pressroom/states/iowa/ia.htm
2019,KS,2.3,/nchs/pressroom/states/kansas/ks.htm
2019,KY,3.4,/nchs/pressroom/states/kentucky/ky.htm
2019,LA,2.4,/nchs/pressroom/states/louisiana/la.htm
2019,ME,3,/nchs/pressroom/states/maine/me.htm
2019,MD,2.7,/nchs/pressroom/states/maryland/md.htm
2019,MA,1.5,/nchs/pressroom/states/massachusetts/ma.htm
2019,MI,2.3,/nchs/pressroom/states/michigan/mi.htm
2019,MN,,/nchs/pressroom/states/minnesota/mn.htm
2019,MS,2.6,/nchs/pressroom/states/mississippi/ms.htm
2019,MO,2.9,/nchs/pressroom/states/missouri/mo.htm
2019,MT,3,/nchs/pressroom/states/montana/mt.htm
2019,NE,2.7,/nchs/pressroom/states/nebraska/ne.htm
2019,NV,4.2,/nchs/pressroom/states/nevada/nv.htm
2019,NH,3.1,/nchs/pressroom/states/newhampshire/nh.htm
2019,NJ,2.5,/nchs/pressroom/states/newjersey/nj.htm
2019,NM,,/nchs/pressroom/states/newmexico/nm.htm
2019,NY,2.9,/nchs/pressroom/states/newyork/ny.htm
2019,NC,3.1,/nchs/pressroom/states/northcarolina/nc.htm
2019,ND,2.5,/nchs/pressroom/states/northdakota/nd.htm
2019,OH,2.8,/nchs/pressroom/states/ohio/oh.htm
2019,OK,3.9,/nchs/pressroom/states/oklahoma/ok.htm
2019,OR,3.2,/nchs/pressroom/states/oregon/or.htm
2019,PA,2.6,/nchs/pressroom/states/pennsylvania/pa.htm
2019,RI,2.7,/nchs/pressroom/states/rhodeisland/ri.htm
2019,SC,2.6,/nchs/pressroom/states/southcarolina/sc.htm
2019,SD,2.6,/nchs/pressroom/states/southdakota/sd.htm
2019,TN,3.5,/nchs/pressroom/states/tennessee/tn.htm
2019,TX,2.1,/nchs/pressroom/states/texas/tx.htm
2019,UT,3.5,/nchs/pressroom/states/utah/ut.htm
2019,VT,2.8,/nchs/pressroom/states/vermont/vt.htm
2019,VA,2.9,/nchs/pressroom/states/virginia/va.htm
2019,WA,2.8,/nchs/pressroom/states/washington/wa.htm
2019,WV,3.6,/nchs/pressroom/states/westvirginia/wv.htm
2019,WI,2.3,/nchs/pressroom/states/wisconsin/wi.htm
2019,WY,3.8,/nchs/pressroom/states/wyoming/wy.htm
